Name,Price
"['BERQA', 'ÇAY', 'EARL', 'GREY', '100', 'QR']","['₼', '2,59', 'ədəd']"
"['BERQA', 'ÇAY', 'EARL', 'GREY', '225', 'QR']","['₼', '6,03', 'ədəd']"
"['BERQA', 'ÇAY', 'EARL', 'GREY', '450', 'QR']","['₼', '11,88', 'ədəd']"
"['BERQA', 'ÇAY', 'EARL', 'GREY', '48', 'QR...']","['₼', '2,11', 'ədəd']"
"['BERQA', 'EARL', 'GREY', '900', 'QR']","['₼', '23,40', 'ədəd']"
"['BERQA', 'BREAKFAST', '100', 'QR']","['₼', '2,75', 'ədəd']"
"['BERQA', 'BREAKFAST', '225', 'QR']","['₼', '6,03', 'ədəd']"
"['BERQA', 'TB', 'BREAKFAST', '48', 'QR']","['₼', '2,23', 'ədəd']"
"['BERQA', 'TB', 'JASMİN', '48', 'QR']","['₼', '2,23', 'ədəd']"
"['AZƏRÇAY', 'BERQAMOT', '900', 'QR']","['₼', '18,62', 'ədəd']"
"['AZƏRÇAY', 'BERQAMOT', '100', 'QR']","['₼', '2,19', 'ədəd']"
"['AZƏRÇAY', 'BERQAMOT', '250', 'QR']","['₼', '5,29', 'ədəd']"
"['BERQA', 'BREAKFAST', '450', 'QR']","['₼', '11,89', 'ədəd']"
"['BERQA', 'ROYAL', 'CEREMONY', '100', 'QR']","['₼', '3,28', 'ədəd']"
"['BERQA', 'ROYAL', 'CEREMONY', '200', 'QR']","['₼', '6,29', 'ədəd']"
"['BERQA', 'DREAM', 'MEYVƏLİ', '200', 'QR']","['₼', '5,28', 'ədəd']"
"['BERQA', 'DREAM', 'MEYVƏLİ', '400', 'QR']","['₼', '10,41', 'ədəd']"
"['AZƏRÇAY', 'BERQAMOT', '450', 'QR']","['₼', '9,45', 'ədəd']"
